filename, Alif, All, Ayn, Ba, Dad, Dal, Dhal, Fa, Ghayn, Ha, Haa, Jim, Kha, Laa, Lam, Mim, Nun, Qaf, Ra, Sad, Shin, Sin, Ta, Taa, Tha, Tt, Ya, Yaa, Za, Zay, kaf, waw
3fd54f96-8cd2-11ed-91aa-f496340d2b26_jpg.rf.372eeee7bbbfb8e9b490e69b532ae7f1.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
77fefcae-8cd2-11ed-97c6-f496340d2b26_jpg.rf.37907116fa512f83005de270670d101d.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43cd6de0-8cd2-11ed-b5ca-f496340d2b26_jpg.rf.36f960ad9998d1cf8c46e46f83b7af03.jpg, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4b9198d4-8cd2-11ed-b9bb-f496340d2b26_jpg.rf.379f03620412a073c98e9db1f5f0501a.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
8d2b6430-8cd2-11ed-a60f-f496340d2b26_jpg.rf.36904b4c43decc3589058f00b404cfe8.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
6c58e1e9-8cd2-11ed-9396-f496340d2b26_jpg.rf.366edcced1ad22f3c270b49560d9e09c.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
052b6c4a-8cd2-11ed-9d9d-f496340d2b26_jpg.rf.3669313a7e6ab203e261126f1ee96266.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6633c043-8cd2-11ed-9466-f496340d2b26_jpg.rf.367931bc75cdf8c9651df99ce5b2360c.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
613be832-8cd2-11ed-84b3-f496340d2b26_jpg.rf.374d9fa906775c4c6d48578c0a01e6ec.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
78272f20-8cd2-11ed-b9ce-f496340d2b26_jpg.rf.365e1c886c003862574858a440687436.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
